city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Gig Harbor,Gig Harbor,WA,Washington,53053,Pierce,53053,Pierce,47.3352,-122.5968,9507,622,polygon,FALSE,TRUE,America/Los_Angeles,3,98332 98335,1840019855
Anacortes,Anacortes,WA,Washington,53057,Skagit,53057,Skagit,48.4878,-122.6292,17955,559,polygon,FALSE,TRUE,America/Los_Angeles,3,98221,1840018366
Omak,Omak,WA,Washington,53047,Okanogan,53047,Okanogan,48.4228,-119.5159,8130,478,polygon,FALSE,TRUE,America/Los_Angeles,3,98841,1840019761
Loon Lake,Loon Lake,WA,Washington,53065,Stevens,53065,Stevens,48.0685,-117.6298,784,92,polygon,FALSE,FALSE,America/Los_Angeles,3,99148,1840023998
Sauk City,Sauk City,WI,Wisconsin,55111,Sauk,55111,Sauk,43.2721,-89.7307,3468,905,polygon,FALSE,TRUE,America/Chicago,3,53583,1840002729
Pulcifer,Pulcifer,WI,Wisconsin,55115,Shawano,55115,Shawano,44.8476,-88.3592,117,43,polygon,FALSE,FALSE,America/Chicago,3,54111 54124,1840023924
Santa Cruz,Santa Cruz,NM,New Mexico,35049,Santa Fe,35049,Santa Fe,35.9939,-106.0358,321,195,polygon,FALSE,FALSE,America/Denver,3,87567 87532,1840019103
Ribera,Ribera,NM,New Mexico,35047,San Miguel,35047,San Miguel,35.37,-105.4441,762,116,polygon,FALSE,FALSE,America/Denver,3,87560,1840024923
Mansfield,Mansfield,TX,Texas,48439,Tarrant,48439|48251|48139,Tarrant|Johnson|Ellis,32.569,-97.1211,68928,726,polygon,FALSE,TRUE,America/Chicago,3,76063,1840020702
Austin,Austin,TX,Texas,48453,Travis,48453|48491|48209,Travis|Williamson|Hays,30.3006,-97.7517,1638716,1144,polygon,FALSE,TRUE,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78680 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590
Orlando,Orlando,FL,Florida,12095,Orange,12095,Orange,28.4772,-81.3369,1776841,982,polygon,FALSE,TRUE,America/New_York,1,32829 32827 32824 32822 32804 32805 32806 32807 32801 32803 32808 32839 32835 32832 32819 32811 32814 32812 32802 32853 32854 32856 32861 32862 32872 32877 32885 32886 32891 32896 32897,1840015099
Fort Myers,Fort Myers,FL,Florida,12071,Lee,12071,Lee,26.6195,-81.8303,79943,774,polygon,FALSE,TRUE,America/New_York,3,33913 33916 33966 33901 33907 33905 33902 33994,1840014226
San Francisco,San Francisco,CA,California,6075,San Francisco,6075,San Francisco,37.7562,-122.443,3603761,7286,polygon,FALSE,TRUE,America/Los_Angeles,1,94130 94131 94132 94133 94134 94109 94108 94103 94102 94105 94104 94158 94127 94124 94123 94122 94121 94129 94118 94110 94112 94116 94117 94114 94115 94111 94107 94119 94120 94125 94126 94137 94139 94140 94141 94142 94143 94144 94145 94146 94147 94151 94159 94160 94161 94163 94164 94172 94177 94188,1840021543
Dallas,Dallas,TX,Texas,48113,Dallas,48113|48085|48121|48257|48397,Dallas|Collin|Denton|Kaufman|Rockwall,32.7936,-96.7662,5733259,1524,polygon,FALSE,TRUE,America/Chicago,1,75287 75098 75233 75254 75251 75252 75253 75032 75238 75232 75230 75231 75236 75237 75234 75235 75088 75087 75243 75246 75244 75249 75248 75051 75166 75210 75211 75212 75214 75215 75216 75217 75218 75219 75390 75182 75229 75228 75220 75223 75225 75224 75227 75226 75241 75240 75247 75270 75043 75207 75206 75205 75204 75203 75202 75201 75209 75208 75019 75221 75222 75242 75250 75260 75262 75263 75264 75266 75267 75277 75283 75284 75285 75301 75303 75312 75313 75315 75320 75336 75339 75342 75354 75355 75356 75357 75358 75359 75360 75367 75370 75371 75372 75373 75374 75376 75378 75379 75380 75382 75389 75392 75393 75394 75395 75397 75398,1840019440
Largo,Largo,FL,Florida,12103,Pinellas,12103,Pinellas,27.9088,-82.7712,84754,1779,polygon,FALSE,TRUE,America/New_York,3,33756 33771 33760 33764 33770 33773 33778 33774 33779,1840015114
Manhattan,Manhattan,NY,New York,36061,New York,36061,New York,40.7834,-73.9662,1643734,27799,polygon,FALSE,TRUE,America/New_York,1,10026 10027 10030 10037 10039 10001 10011 10018 10019 10020 10036 10029 10035 10010 10016 10017 10022 10012 10013 10014 10004 10005 10006 10007 10038 10280 10002 10003 10009 10021 10028 10044 10065 10075 10128 10023 10024 10025 10031 10032 10033 10034 10040,1840034000
Beverly Hills,Beverly Hills,CA,California,6037,Los Angeles,6037,Los Angeles,34.0786,-118.4021,34484,2332,polygon,FALSE,TRUE,America/Los_Angeles,2,90212 90211 90210 90209,1840019231
Beverly Hills,Beverly Hills,CA,California,6037,Los Angeles,6037,Los Angeles,34.0786,-118.4021,34484,2332,polygon,FALSE,TRUE,America/Los_Angeles,2,90212 90211 90210 90209,1840019231
San Antonio,San Antonio,TX,Texas,48029,Bexar,48029|48325,Bexar|Medina,29.4658,-98.5254,2002530,1204,polygon,FALSE,TRUE,America/Chicago,1,78112 78259 78258 78252 78251 78250 78257 78256 78255 78254 78208 78201 78202 78203 78204 78205 78207 78245 78231 78230 78233 78232 78235 78234 78237 78239 78238 78209 78109 78266 78260 78219 78218 78217 78216 78215 78214 78213 78212 78211 78210 78244 78247 78240 78242 78248 78249 78073 78023 78222 78223 78220 78221 78226 78227 78224 78225 78228 78229 78206 78241 78246 78265 78268 78269 78270 78278 78279 78280 78283 78284 78285 78288 78289 78291 78292 78293 78294 78295 78296 78297 78298 78299,1840022220
San Marcos,San Marcos,TX,Texas,48209,Hays,48209|48055|48187,Hays|Caldwell|Guadalupe,29.8736,-97.938,74212,715,polygon,FALSE,TRUE,America/Chicago,3,78666 78667,1840022188
San Diego,San Diego,CA,California,6073,San Diego,6073,San Diego,32.8312,-117.1225,3210314,1683,polygon,FALSE,TRUE,America/Los_Angeles,1,92109 92108 92103 92111 92154 92110 92115 92140 92107 92106 92105 92104 92102 92071 92132 92130 92131 92134 92139 92025 92027 92147 92145 92014 92119 92117 92121 92120 92123 92122 92124 92127 92126 92129 92128 92101 92037 92173 92113 92114 92116 92038 92039 92072 92092 92093 92112 92137 92138 92142 92143 92149 92150 92152 92153 92158 92159 92160 92161 92163 92165 92166 92167 92168 92169 92170 92171 92172 92174 92175 92176 92177 92179 92182 92186 92187 92191 92192 92193 92195 92196 92197 92198 92199,1840021990
Seattle,Seattle,WA,Washington,53033,King,53033,King,47.6211,-122.3244,3643765,3336,polygon,FALSE,TRUE,America/Los_Angeles,1,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194,1840021117
Atlanta,Atlanta,GA,Georgia,13121,Fulton,13121|13089|13067,Fulton|DeKalb|Cobb,33.7627,-84.4225,5228750,1384,polygon,FALSE,TRUE,America/New_York,1,30334 30331 30332 30309 30308 30305 30307 30303 30354 30327 30322 30326 30324 30319 30342 30306 30318 30316 30317 30314 30315 30312 30313 30310 30311 30363 30301 30302 30304 30321 30325 30333 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31136 31139 31141 31193 31195 31196,1840013660
Kansas City,Kansas City,MO,Missouri,29095,Jackson,29095|29047|29165|29037,Jackson|Clay|Platte|Cass,39.1239,-94.5541,1615621,599,polygon,FALSE,TRUE,America/Chicago,1,64161 64163 64165 64167 64053 64151 64153 64155 64154 64157 64156 64158 64108 64109 64102 64106 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64192 64119 64118 64114 64117 64116 64111 64110 64113 64112 64132 64130 64146 64145 64149 64147 64139 64138 64133 64131 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,1840008535
Houston,Houston,TX,Texas,48201,Harris,48201|48157|48339,Harris|Fort Bend|Montgomery,29.7869,-95.3905,5446468,1401,polygon,FALSE,TRUE,America/Chicago,1,77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77489 77046 77045 77044 77040 77048 77201 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77091 77093 77099 77053 77346 77345 77546 77547 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77094 77096 77090 77098 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77043 77041 77336 77339 77338 77003 77002 77007 77006 77005 77004 77009 77008 77450 77082 77089 77088 77083 77081 77080 77087 77086 77085 77084 77092 77042 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504 77001 77052 77202 77203 77204 77205 77206 77207 77208 77209 77210 77212 77213 77215 77216 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77297 77299 77315 77325 77411,1840020925